Virat Kohli,,,,,,,,,,,,
26,25,488,640,18,14/2,14/2,7.87,35.56,27.11,0,0,
Mitchell Johnson,,,,,,,,,,,,
48,28,15,151,16,11.62,153,98.69,0,0,0,8,7
48,48,1106,1486,59,26/3,26/3,8.06,25.19,18.75,0,0,
Glenn Maxwell,,,,,,,,,,,,
57,56,7,1228,95,25.06,747,164.39,0,0,6,95,82
57,33,324,479,11,15/2,15/2,8.87,43.55,29.45,0,0,
Axar Patel,,,,,,,,,,,,
59,43,13,606,44,20.2,473,128.12,0,0,0,34,28
59,59,1251,1547,58,21/4,21/4,7.42,26.67,21.57,0,0,
Mohit Sharma,,,,,,,,,,,,
75,22,8,112,21,8,102,109.8,0,0,0,7,4
75,75,1534,2076,83,14/4,14/4,8.12,25.01,18.48,0,0,
Pardeep Sahu,,,,,,,,,,,,
5,2,1,19,18,19,13,146.15,0,0,0,1,1
5,5,105,146,3,18/2,18/2,8.34,48.67,35,0,0,
Swapnil Singh,,,,,,,,,,,,
5,3,0,12,10,4,20,60,0,0,0,0,0
5,5,60,90,1,14/1,14/1,9,90,60,0,0,
Murali Vijay,,,,,,,,,,,,
100,100,5,2511,127,26.43,2035,123.39,2,0,13,237,89
100,4,36,49,0,8/0,8/0,8.17,0,0,0,0,
Kyle Abbott,,,,,,,,,,,,
5,3,2,13,12,13,8,162.5,0,0,0,0,1
5,5,96,177,2,38/1,38/1,11.06,88.5,48,0,0,
Armaan Jaffer,,,,,,,,,,,,
#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#
#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,
KC Cariappa,,,,,,,,,,,,
10,4,1,15,12,5,18,83.33,0,0,0,0,1
10,10,204,314,8,16/2,16/2,9.24,39.25,25.5,0,0,
Gurkeerat Singh Mann,,,,,,,,,,,,
30,24,3,342,51,16.29,272,125.74,0,0,1,36,9
30,6,78,97,5,15/2,15/2,7.46,19.4,15.6,0,0,
Shaun Marsh,,,,,,,,,,,,
71,69,7,2477,115,39.95,1866,132.74,1,0,20,266,78
#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,
Nikhil Naik,,,,,,,,,,,,
2,2,0,23,22,11.5,31,74.19,0,0,0,1,0
#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,
Wriddhiman Saha,,,,,,,,,,,,
