Sachin Baby,Mustafizur Rahman,0,3,2,0,1,0,2,8,23,287.5,0
SR Tendulkar,Jaskaran Singh,7,6,1,0,4,0,0,18,24,133.33333333333334,0
MJ Clarke,Vinay Kumar,3,2,1,0,2,0,0,8,12,150.0,1
GH Vihari,SK Trivedi,3,1,2,0,0,0,0,6,5,83.33333333333333,1
Suresh Raina,JE Taylor,4,0,1,0,0,0,2,7,14,200.0,0
Mohammad Ashraful,AM Salvi,2,2,0,0,0,0,0,4,2,50.0,0
DPMD Jayawardene,Moises Henriques,3,5,0,0,3,0,0,11,17,154.54545454545453,0
DPMD Jayawardene,PP Ojha,14,16,6,0,4,0,0,40,44,110.0,1
Steven Smith,Ishant Sharma,5,4,1,0,2,0,0,12,14,116.66666666666667,1
Stuart Binny,Axar Patel,4,3,0,0,0,0,0,7,3,42.857142857142854,0
Kevin Pietersen,Mitchell Johnson,1,2,0,1,2,0,0,6,13,216.66666666666666,0
Chris Gayle,MK Tiwary,2,1,0,0,0,0,2,5,13,260.0,0
Ravindra Jadeja,P Awana,4,1,1,0,2,0,0,8,11,137.5,2
David Warner,S Tyagi,4,1,1,0,1,0,0,7,7,100.0,0
S Anirudha,L Balaji,2,5,1,0,0,0,0,8,7,87.5,0
Praveen Kumar,James Faulkner,2,0,0,0,2,0,0,4,8,200.0,1
Irfan Pathan,AB McDonald,0,1,0,0,0,0,0,1,1,100.0,0
Rajagopal Sathish,SW Tait,3,1,0,0,1,0,0,5,5,100.0,0
Ravindra Jadeja,Jaydev Unadkat,4,1,1,0,1,0,1,8,13,162.5,1
Manish Pandey,Vinay Kumar,1,5,0,1,0,0,0,7,8,114.28571428571429,0
James Faulkner,MK Tiwary,0,2,1,0,0,0,1,4,10,250.0,0
R Dravid,DL Vettori,15,21,3,0,3,0,0,42,39,92.85714285714286,1
Nitesh Rana,Basil Thampi,3,4,0,0,1,0,1,9,14,155.55555555555554,0
Parthiv Patel,AM Salvi,0,2,0,0,0,0,0,2,2,100.0,0
AA Bilakhia,Yusuf Pathan,3,1,0,0,0,0,0,4,1,25.0,0
Sanju Samson,Mitchell McClenaghan,7,2,0,0,0,0,2,11,14,127.27272727272727,4
Chris Morris,Imran Tahir,1,1,0,0,0,0,1,3,7,233.33333333333334,0
J Syed Mohammad,Suresh Raina,0,1,0,0,0,0,0,1,1,100.0,0
Praveen Kumar,Mohit Sharma,4,2,1,0,1,0,0,8,8,100.0,2
Shane Watson,B Geeves,0,1,0,0,3,0,0,4,13,325.0,0
MEK Hussey,R Ninan,1,3,1,0,0,0,0,5,5,100.0,0
Jaskaran Singh,S Sreesanth,1,1,1,0,0,0,0,3,3,100.0,0
MK Tiwary,AA Chavan,4,2,0,1,0,0,1,8,11,137.5,0
LRPL Taylor,Ashok Dinda,3,6,2,0,4,0,1,16,32,200.0,0
