Brendon McCullum,Suresh Raina,4,9,3,0,2,0,1,19,29,152.6315789473684,0,6,5
Mitchell Marsh,Piyush Chawla,1,2,0,0,0,0,0,3,2,66.66666666666667,0,11,4
Rajat Bhatia,Ishwar Pandey,2,3,0,0,0,0,0,5,3,60.0,0,11,0
Quinton de Kock,Umesh Yadav,7,0,0,0,1,0,1,9,10,111.11111111111111,1,4,8
MS Dhoni,Dwayne Smith,5,5,0,0,0,0,0,10,5,50.0,0,9,10
Quinton de Kock,Sreenath Aravind,7,12,1,0,5,0,1,26,40,153.84615384615384,0,4,5
Dinesh Karthik,Vinay Kumar,22,19,4,0,6,0,1,52,57,109.61538461538461,3,6,8
Virat Kohli,Ishwar Pandey,3,7,0,0,0,0,0,10,7,70.0,0,5,0
Mayank Agarwal,Iqbal Abdulla,3,3,0,0,0,0,0,6,3,50.0,1,4,5
Irfan Pathan,Lasith Malinga,7,9,0,0,1,0,1,18,19,105.55555555555556,2,8,4
Paras Dogra,Lasith Malinga,2,3,1,0,0,0,0,6,5,83.33333333333333,0,1,4
Quinton de Kock,KC Cariappa,4,2,0,1,2,0,0,9,13,144.44444444444446,0,4,9
Ajinkya Rahane,Trent Boult,8,2,1,0,3,0,0,14,16,114.28571428571429,1,6,6
Praveen Kumar,Sreenath Aravind,0,1,0,0,0,0,0,1,1,100.0,0,11,5
Thisara Perera,Iqbal Abdulla,3,1,0,0,0,0,0,4,1,25.0,0,7,5
Dinesh Karthik,James Faulkner,10,8,3,0,2,0,0,23,22,95.65217391304348,2,6,2
Suryakumar Yadav,Dale Steyn,3,0,0,0,0,0,0,3,0,0.0,1,7,1
Ashok Dinda,Zaheer Khan,3,1,0,0,1,0,0,5,5,100.0,0,10,8
David Warner,Varun Aaron,15,9,1,0,5,0,1,31,37,119.35483870967742,1,2,5
Dwayne Smith,RP Singh,5,2,1,0,0,0,0,8,4,50.0,0,3,1
Steven Smith,Sreenath Aravind,6,3,1,0,1,0,0,11,9,81.81818181818181,1,0,5
Ravichandran Ashwin,Sandeep Sharma,1,3,0,0,0,0,0,4,3,75.0,0,11,2
Moises Henriques,Vinay Kumar,2,3,0,0,0,0,0,5,3,60.0,0,8,8
Shane Watson,Kieron Pollard,8,4,0,0,2,0,2,16,24,150.0,2,3,2
Shahbaz Nadeem,Pawan Negi,5,1,0,0,0,0,0,6,1,16.666666666666668,2,10,10
Glenn Maxwell,Yuvraj Singh,2,1,0,0,1,0,2,6,17,283.3333333333333,0,8,5
Ravindra Jadeja,Praveen Kumar,4,4,0,0,0,0,0,8,4,50.0,0,0,4
Imran Tahir,Ben Cutting,3,0,0,0,1,0,0,4,4,100.0,0,10,9
Thisara Perera,Ishant Sharma,3,1,0,0,1,0,0,5,5,100.0,0,7,7
Zaheer Khan,RP Singh,2,2,0,0,0,0,0,4,2,50.0,0,1,1
Karn Sharma,Dwayne Bravo,7,9,2,0,1,0,0,19,17,89.47368421052632,2,11,8
Suresh Raina,Pawan Suyal,1,2,1,0,0,0,0,4,4,100.0,0,5,9
Axar Patel,Rajat Bhatia,0,2,1,0,0,0,0,3,4,133.33333333333334,0,7,7
Manish Pandey,Praveen Kumar,10,5,1,0,0,0,0,16,7,43.75,3,3,4
Kedar Jadhav,Thisara Perera,2,7,0,0,0,0,1,10,13,130.0,0,4,10
Andre Russell,Ravichandran Ashwin,2,0,0,0,0,0,0,2,0,0.0,1,7,8
Kane Williamson,Mohammed Shami,5,4,0,0,1,1,0,11,13,118.18181818181819,1,7,10
Dwayne Bravo,Dhawal Kulkarni,1,2,0,0,0,0,2,5,14,280.0,0,8,7
Dale Steyn,Jaydev Unadkat,5,2,1,0,1,0,0,9,8,88.88888888888889,1,1,11
Murali Vijay,Shahbaz Nadeem,3,5,3,0,1,0,0,12,15,125.0,0,3,11
James Faulkner,Rohit Sharma,1,0,0,0,0,0,0,1,0,0.0,0,7,6
Jos Buttler,Ishant Sharma,3,3,0,0,2,0,0,8,11,137.5,0,7,7
Harbhajan Singh,Murugan Ashwin,7,1,2,0,1,0,0,11,9,81.81818181818181,0,4,9
Pawan Negi,Ashok Dinda,2,1,1,0,1,0,1,6,13,216.66666666666666,0,11,7
Gurkeerat Singh Mann,Moises Henriques,10,4,1,0,3,0,0,18,18,100.0,1,11,5
Steven Smith,Ashish Nehra,11,5,0,0,3,0,0,19,17,89.47368421052632,0,0,1
Lasith Malinga,Varun Aaron,0,1,0,0,0,0,0,1,1,100.0,0,1,5
Faf du Plessis,Karn Sharma,0,5,1,0,0,0,0,6,7,116.66666666666667,0,8,11
Ajinkya Rahane,Rishi Dhawan,11,4,1,0,2,0,0,18,14,77.77777777777777,1,6,0
Dale Steyn,Dwayne Bravo,3,2,0,0,1,0,0,6,6,100.0,0,1,8
Vinay Kumar,Shakib Al Hasan,5,6,1,0,0,0,0,12,8,66.66666666666667,2,11,5
